"trust_code","ltla_code","source","p"
"rcu","e08000019","patient_postcode",1
"rcx","e07000146","hospital_postcode",NA
"rcx","e07000010","patient_postcode",0.169230769230769
"rcx","e07000140","patient_postcode",0.0598290598290598
"rcx","e07000143","patient_postcode",0.0991452991452991
"rcx","e07000146","patient_postcode",0.637606837606838
"rcx","e07000147","patient_postcode",0.0341880341880342
"rd1","e06000022","hospital_postcode",NA
"rd1","e06000022","patient_postcode",0.333333333333333
"rd1","e06000054","patient_postcode",0.597222222222222
"rd1","e07000187","patient_postcode",0.0694444444444444
"rd3","e06000058","hospital_postcode",NA
"rd3","e06000058","patient_postcode",0.693069306930693
"rd3","e06000059","patient_postcode",0.306930693069307
"rd8","e06000042","hospital_postcode",NA
"rd8","e06000042","patient_postcode",0.836734693877551
"rd8","e06000056","patient_postcode",0.0612244897959184
"rd8","e06000060","patient_postcode",0.102040816326531
"rdd","e07000066","hospital_postcode",NA
"rdd","e06000034","patient_postcode",0.379052369077307
"rdd","e07000066","patient_postcode",0.491271820448878
"rdd","e07000068","patient_postcode",0.114713216957606
"rdd","e07000069","patient_postcode",0.0149625935162095
"rde","e07000071","hospital_postcode",NA
"rde","e07000202","hospital_postcode",NA
"rde","e07000067","patient_postcode",0.0152284263959391
"rde","e07000071","patient_postcode",0.147208121827411
"rde","e07000076","patient_postcode",0.144670050761421
"rde","e07000200","patient_postcode",0.0532994923857868
"rde","e07000202","patient_postcode",0.383248730964467
"rde","e07000203","patient_postcode",0.101522842639594
"rde","e07000244","patient_postcode",0.154822335025381
"rdu","e06000039","hospital_postcode",NA
"rdu","e07000214","hospital_postcode",NA
"rdu","e06000036","patient_postcode",0.0501730103806228
"rdu","e06000039","patient_postcode",0.408304498269896
"rdu","e06000040","patient_postcode",0.153979238754325
"rdu","e06000060","patient_postcode",0.21280276816609
"rdu","e07000089","patient_postcode",0.0207612456747405
"rdu","e07000092","patient_postcode",0.0674740484429066
"rdu","e07000209","patient_postcode",0.0121107266435986
"rdu","e07000214","patient_postcode",0.0484429065743945
"rdu","e07000216","patient_postcode",0.0259515570934256
"rdu","e07000004","utla_final_match",NA
"rdu","e07000005","utla_final_match",NA
"rdu","e07000006","utla_final_match",NA
"rdu","e07000007","utla_final_match",NA
"rdz","e06000058","hospital_postcode",NA
"rdz","e06000058","patient_postcode",0.693877551020408
"rdz","e06000059","patient_postcode",0.122448979591837
"rdz","e07000091","patient_postcode",0.183673469387755
"ref","e06000052","patient_postcode",1
"rem","e08000012","hospital_postcode",NA
"rem","e08000011","patient_postcode",0.0452961672473868
"rem","e08000012","patient_postcode",0.780487804878049
"rem","e08000014","patient_postcode",0.174216027874564
"ret","e08000012","hospital_postcode",NA
"rf4","e09000016","hospital_postcode",NA
"rf4","e07000068","patient_postcode",0.0333333333333333
"rf4","e07000072","patient_postcode",0.0159420289855072
"rf4","e09000002","patient_postcode",0.246376811594203
"rf4","e09000016","patient_postcode",0.41304347826087
"rf4","e09000026","patient_postcode",0.291304347826087
"rff","e08000016","hospital_postcode",NA
"rff","e08000016","patient_postcode",0.978723404255319
"rff","e08000019","patient_postcode",0.0212765957446809
"rfr","e08000018","hospital_postcode",NA
"rfr","e08000017","patient_postcode",0.0217391304347826
"rfr","e08000018","patient_postcode",0.938735177865613
"rfr","e08000019","patient_postcode",0.0395256916996047
"rfs","e07000034","hospital_postcode",NA
"rfs","e07000032","patient_postcode",0.0328767123287671
"rfs","e07000033","patient_postcode",0.0767123287671233
"rfs","e07000034","patient_postcode",0.350684931506849
"rfs","e07000035","patient_postcode",0.0794520547945206
"rfs","e07000038","patient_postcode",0.419178082191781
"rfs","e07000171","patient_postcode",0.0164383561643836
"rfs","e07000174","patient_postcode",0.0246575342465753
"rgm","e07000008","hospital_postcode",NA
"rgn","e06000031","hospital_postcode",NA
"rgn","e07000011","hospital_postcode",NA
"rgn","e06000031","patient_postcode",0.467277486910995
"rgn","e07000010","patient_postcode",0.0824607329842932
"rgn","e07000011","patient_postcode",0.331151832460733
"rgn","e07000012","patient_postcode",0.00785340314136126
"rgn","e07000140","patient_postcode",0.031413612565445
"rgn","e07000141","patient_postcode",0.0641361256544503
"rgn","e07000152","patient_postcode",0.0157068062827225
"rgp","e07000145","hospital_postcode",NA
"rgp","e07000144","patient_postcode",0.0266666666666667
