trust_code,geo_code,p_trust,p_geo
R0A,E06000049,0.0411639460610362,0.08504398826979472
R0A,E08000002,0.008516678495386799,0.03361344537815126
R0A,E08000003,0.49538679914833217,0.7678767876787679
R0A,E08000004,0.016323633782824698,0.043726235741444866
R0A,E08000005,0.008516678495386799,0.02771362586605081
R0A,E08000006,0.007806955287437899,0.024608501118568233
R0A,E08000007,0.0723917672107878,0.17647058823529413
R0A,E08000008,0.029098651525904896,0.07243816254416961
R0A,E08000009,0.30872959545777146,0.9216101694915254
R0A,E10000017,0.0120652945351313,0.009545199326221224
R0B,E06000047,0.12212817412333736,0.1631663974151858
R0B,E08000023,0.31680773881499397,1
R0B,E08000024,0.5610640870616687,0.9206349206349206
R0D,E06000058,0.7281553398058253,1
R0D,E06000059,0.20711974110032363,0.38323353293413176
R0D,E10000014,0.06472491909385113,0.014619883040935672
R1F,E06000046,1,1
R1H,E09000002,0.029863855950812472,0.16267942583732056
R1H,E09000005,0.006148440931049627,0.011119936457505957
R1H,E09000010,0.007465963987703118,0.022818791946308724
R1H,E09000012,0.05401844532279315,0.21354166666666666
R1H,E09000014,0.007465963987703118,0.027642276422764227
R1H,E09000019,0.004830917874396135,0.030303030303030304
R1H,E09000025,0.3113746157224418,0.9568151147098516
R1H,E09000026,0.09134826526130874,0.31137724550898205
R1H,E09000030,0.1945542380324989,1
R1H,E09000031,0.2463768115942029,0.9136807817589576
R1H,E10000012,0.04655248133509003,0.05391658189216684
R1K,E09000003,0.031969910672308414,0.07249466950959488
R1K,E09000005,0.32581100141043723,0.5504368546465449
R1K,E09000009,0.2623413258110014,0.625560538116592
R1K,E09000015,0.3211095439586272,0.8130952380952381
R1K,E09000017,0.03996238834038552,0.1486013986013986
R1K,E09000018,0.012223789374706159,0.0593607305936073
R1K,E10000015,0.006582040432534086,0.007646095030038231
RA2,E10000014,0.11170212765957446,0.03070175438596491
RA2,E10000030,0.851063829787234,0.17524644030668127
